"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","participant","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","559","p8qlq22ql92","p8qlq22ql92","You","swan","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1356","p8qlq22ql92","p8qlq22ql92","You","swan","795","Welcome to the experiment. Press any key to begin.","f","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","2","2.0.0","3169","p8qlq22ql92","p8qlq22ql92","You","swan","1811","","{""participant_id"":""swan""}","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","2.0.0","5756","p8qlq22ql92","p8qlq22ql92","You","swan","1583","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","10414","p8qlq22ql92","p8qlq22ql92","You","swan","4657","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","19698","p8qlq22ql92","p8qlq22ql92","You","swan","9282","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    "," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","2.0.0","23246","p8qlq22ql92","p8qlq22ql92","You","swan","3545","On one boat there is <b>1 person</b> and the other boat there is <b>100 pigs</b>.
                 Will <b>You</b> save...","0","main_choice","0","pig","1","100","1 person","100 pigs","false","A","B","1 person","Can't decide","100 pigs","[""1 person"",""Can't decide"",""100 pigs""]","1 person vs 100 pigs","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","7","2.0.0","23748","p8qlq22ql92","p8qlq22ql92","You","swan","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","8","2.0.0","26242","p8qlq22ql92","p8qlq22ql92","You","swan","2491","On one boat there is <b>10 people</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...","2","main_choice","1","dog","10","1","10 people","1 dog","true","B","A","1 dog","Can't decide","10 people","[""1 dog"",""Can't decide"",""10 people""]","10 people vs 1 dog","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","9","2.0.0","26744","p8qlq22ql92","p8qlq22ql92","You","swan","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","10","2.0.0","28350","p8qlq22ql92","p8qlq22ql92","You","swan","1604","On one boat there is <b>100 people</b> and the other boat there is <b>10 bunnies</b>.
                 Will <b>You</b> save...","0","main_choice","2","bunny","100","10","100 people","10 bunnies","false","A","B","100 people","Can't decide","10 bunnies","[""100 people"",""Can't decide"",""10 bunnies""]","100 people vs 10 bunnies","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","11","2.0.0","28852","p8qlq22ql92","p8qlq22ql92","You","swan","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","12","2.0.0","31195","p8qlq22ql92","p8qlq22ql92","You","swan","2341","On one boat there is <b>10 people</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...","2","main_choice","3","clam","10","100","10 people","100 clams","true","B","A","100 clams","Can't decide","10 people","[""100 clams"",""Can't decide"",""10 people""]","10 people vs 100 clams","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","13","2.0.0","31697","p8qlq22ql92","p8qlq22ql92","You","swan","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","14","2.0.0","33991","p8qlq22ql92","p8qlq22ql92","You","swan","2293","On one boat there is <b>10 people</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","2","main_choice","4","cat","10","1","10 people","1 cat","true","B","A","1 cat","Can't decide","10 people","[""1 cat"",""Can't decide"",""10 people""]","10 people vs 1 cat","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","15","2.0.0","34493","p8qlq22ql92","p8qlq22ql92","You","swan","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
