"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","participant","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","3681","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","88882","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","85200","Welcome to the experiment. Press any key to begin.","Enter","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","2","2.0.0","99446","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","10559","","{""participant_id"":""chipmunk""}","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","2.0.0","105361","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","4912","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","111712","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","6350","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>","Enter","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","127622","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","15909","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    ","j","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","2.0.0","138777","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","11153","On one boat there is <b>100 people</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","2","main_choice","0","pigeon","100","1","100 people","1 pigeon","true","B","A","1 pigeon","Can't decide","100 people","[""1 pigeon"",""Can't decide"",""100 people""]","100 people vs 1 pigeon","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","7","2.0.0","139289","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","8","2.0.0","152807","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","13518","On one boat there is <b>10 people</b> and the other boat there is <b>100 cats</b>.
                 Will <b>You</b> save...","0","main_choice","1","cat","10","100","10 people","100 cats","true","B","A","100 cats","Can't decide","10 people","[""100 cats"",""Can't decide"",""10 people""]","10 people vs 100 cats","100 cats","animal","0","1","0","",""
"","","","","","html-keyboard-response","9","2.0.0","153314","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","10","2.0.0","158664","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","5349","On one boat there is <b>1 person</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","0","main_choice","2","cat","1","1","1 person","1 cat","true","B","A","1 cat","Can't decide","1 person","[""1 cat"",""Can't decide"",""1 person""]","1 person vs 1 cat","1 cat","animal","0","1","0","",""
"","","","","","html-keyboard-response","11","2.0.0","159170","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","12","2.0.0","161718","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","2546","On one boat there is <b>1 person</b> and the other boat there is <b>1 pig</b>.
                 Will <b>You</b> save...","0","main_choice","3","pig","1","1","1 person","1 pig","true","B","A","1 pig","Can't decide","1 person","[""1 pig"",""Can't decide"",""1 person""]","1 person vs 1 pig","1 pig","animal","0","1","0","",""
"","","","","","html-keyboard-response","13","2.0.0","162230","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","14","2.0.0","165741","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","3509","On one boat there is <b>10 people</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","2","main_choice","4","cat","10","1","10 people","1 cat","false","A","B","10 people","Can't decide","1 cat","[""10 people"",""Can't decide"",""1 cat""]","10 people vs 1 cat","1 cat","animal","0","1","0","",""
"","","","","","html-keyboard-response","15","2.0.0","166257","p6nnxuaodv3","p6nnxuaodv3","You","chipmunk","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
